Hobby_1,Hobby_2,Hobby_3,Hobby_4,Hobby_5,SSC Percent,Aptitude Percent,Course_1,Course_2,Course_3,Course_4,Course_5
Reading,Dance,History/Geography,Sports,Science,less than 80,less than 75,Bachelor of Commerce (Banking & Insurance),Bachelor of Music (B.Mus.),B.Sc. (Hospitality Studies),Bachelor of Journalism and Mass Communication (BJMC) degree,Diploma in Aviation Safety and Hospitality
Reading,Dance,History/Geography,Sports,Science,less than 80,less than 75,Bachelor of Social Work (B.S.W.),Bachelor of Performing Arts (B.P.A.) - Music (Karnataka Vocal/Instrumental),Bachelor In Heritage Management (B.H.M.),B.Sc. In Physiotherapy,Bachelor of Architecture (B.Arch.)
Reading,Dance,History/Geography,Sports,Science,less than 80,more than 75,Bachelor of Social Work (B.S.W.),Bachelor of Performing Arts (B.P.A.) - Music (Karnataka Vocal/Instrumental),Diploma Course in Rainfed Agriculture,Bachelor of Science (B.Sc.) in Physics,B.Sc. in Environmental Sciences
Reading,Dance,History/Geography,Sports,Science,less than 80,more than 75,Bachelor of Journalism and Mass Communication (BJMC) degree,Bachelor of Music (B.Mus.),Bachelor of Fine Art (B.F.A.) Painting,Bachelor of Science (B.Sc.) in Physics,B.Sc. In Nursing
Reading,Dance,History/Geography,Sports,Science,more than 80,less than 75,B.Sc. in Forensic Science,Bachelor of Music (B.Mus.),Diploma Course in Rainfed Agriculture,B.Sc. Aviation,Bachelor of Engineering (Civil Engineering)
Reading,Dance,History/Geography,Sports,Science,more than 80,less than 75,B.Sc. in Forensic Science,B.Sc in Fashion Design,Diploma in Early Childhood Care and Education (Dip E.C.C.Ed.),Bachelor of Journalism and Mass Communication (BJMC) degree,Bachelor of Engineering (Chemical Engineering)
Reading,Dance,History/Geography,Sports,Science,more than 80,more than 75,B.Sc. in Forensic Science,Bachelor of Performing Arts (B.P.A.) - Dance,Bachelor of Engineering (Marine Engineering),B.Sc. in Sports Management,Bachelor of Engineering (Chemical Engineering)
Reading,Dance,History/Geography,Sports,Science,more than 80,more than 75,B.Sc. in Forensic Science,Bachelor of Performing Arts (B.P.A.) - Dance,Bachelor In Heritage Management (B.H.M.),B.Sc. In Physiotherapy,Bachelor of Engineering (Construction Engineering)
Reading,Dance,History/Geography,Sports,Music,less than 80,less than 75,Bachelor of Commerce (Financial Markets),Bachelor of Performing Arts (B.P.A.) - Dance,Bachelor of Social Work (B.S.W.),Diploma in Yogic Education,Certificate Course in Music Appreciation and Music Journalism
Reading,Dance,History/Geography,Sports,Music,less than 80,less than 75,Bachelor of Commerce (Accounting & Finance),B.Sc. in Home Science,Bachelor of Fine Art (B.F.A.) Painting,B.Sc. in Sports Management,B.Sc. in Maritime Hospitality Studies
Reading,Dance,History/Geography,Sports,Music,less than 80,more than 75,"B.A. Programme in Film, Television and New Media Production",Bachelor of Performing Arts (B.P.A.) - Dance,Bachelor In Heritage Management (B.H.M.),Bachelor of Engineering (Mechanical Engineering),Bachelor of Theatre Arts
Reading,Dance,History/Geography,Sports,Music,less than 80,more than 75,Bachelor of Social Work (B.S.W.),Bachelor of Music (B.Mus.),Diploma Course in Rainfed Agriculture,Bachelor of Journalism and Mass Communication (BJMC) degree,Bachelor of Fine Art (B.F.A.) (Ceramics)
Reading,Dance,History/Geography,Sports,Music,more than 80,less than 75,B.Sc. in Forensic Science,Bachelor of Music (B.Mus.),Bachelor of Arts (B.A.) in English Literature,B.Sc. Aviation,Bachelor of Music (B.Mus.)
Reading,Dance,History/Geography,Sports,Music,more than 80,less than 75,B.Sc. in Forensic Science,Bachelor of Performing Arts (B.P.A.) - Dance,Diploma in Early Childhood Care and Education (Dip E.C.C.Ed.),Diploma in Yogic Education,Bachelor of Culinary Arts
Reading,Dance,History/Geography,Sports,Music,more than 80,more than 75,B.Sc. in Forensic Science,Bachelor of Performing Arts (B.P.A.) - Dance,Bachelor of Engineering (Marine Engineering),B.Sc. in Sports Management,Bachelor of Music (B.Mus.)
Reading,Dance,History/Geography,Sports,Music,more than 80,more than 75,B.Sc. in Forensic Science,Diploma in Music,Bachelor of Fine Art (B.F.A.) Painting,Bachelor of Journalism and Mass Communication (BJMC) degree,Bachelor of Architecture with Interior Design Course
Reading,Dance,History/Geography,Sports,Cooking/Baking,less than 80,less than 75,Bachelor of Social Work (B.S.W.),B.Sc. in Home Science,Bachelor of Engineering (Marine Engineering),B.Sc. Aviation,B.Sc. in Maritime Hospitality Studies
Reading,Dance,History/Geography,Sports,Cooking/Baking,less than 80,less than 75,Bachelors of Mass Media (B.M.M.),Bachelor of Performing Arts (B.P.A.) - Music (Karnataka Vocal/Instrumental),B.Sc. (Hospitality Studies),Bachelor of Engineering (Mechanical Engineering),Certificate Course in Food Processing and Preservation
Reading,Dance,History/Geography,Sports,Cooking/Baking,less than 80,more than 75,"B.A. Programme in Film, Television and New Media Production",B.Sc. in Home Science,Diploma in Early Childhood Care and Education (Dip E.C.C.Ed.),Bachelor of Physical Education (B.P.Ed.),B.Sc. In Nursing
